# overetch,offset,thickness,sensitivity 
0.354773,-0.056732,29.860278,0.004507
0.364826,0.007014,30.188581,0.004579
0.267803,-0.199553,30.297970,0.004582
0.282989,0.047962,29.853525,0.004380
0.290481,-0.124993,29.740507,0.004413
0.331993,-0.163413,29.968261,0.004552
0.270904,-0.216767,30.002480,0.004573
0.289601,-0.015726,29.872791,0.004374
0.336638,0.351780,29.682406,0.005007
0.269435,-0.114092,30.485244,0.004491
0.269053,0.215084,29.733123,0.004578
0.250982,0.045883,30.056654,0.004386
0.314041,-0.004601,30.275515,0.004469
0.302858,-0.033791,30.246665,0.004448
0.205296,0.109142,29.821607,0.004422
0.238988,0.060470,29.892262,0.004370
0.278227,-0.058769,29.934327,0.004381
0.363614,-0.057335,30.005181,0.004553
0.184497,0.063061,30.273392,0.004460
0.396105,-0.149460,29.770862,0.004686
0.282138,-0.198722,29.886294,0.004527
0.196786,0.112836,29.981158,0.004459
0.291069,-0.018984,30.051212,0.004402
0.301418,0.146597,29.805182,0.004491
0.170388,-0.005603,30.246295,0.004445
0.390040,-0.409306,30.124969,0.005281
0.279263,-0.092695,29.779249,0.004379
0.270026,0.005793,29.890788,0.004359
0.329900,-0.216109,29.813527,0.004604
0.226759,0.066641,29.708022,0.004350
0.315398,0.115961,29.551102,0.004436
0.274591,0.040970,30.310490,0.004434
0.277532,0.095061,29.806788,0.004404
0.325566,0.005530,30.095090,0.004466
0.299898,0.028257,29.884927,0.004397
0.224045,0.035441,29.927041,0.004362
0.342409,0.075260,30.394434,0.004578
0.295997,-0.140984,29.719892,0.004433
0.271793,0.194207,30.286939,0.004617
0.401991,0.018855,30.043496,0.004688
0.341134,0.063561,29.875564,0.004491
0.261228,0.194137,30.000484,0.004571
0.302397,-0.029452,29.917995,0.004399
0.322592,0.081030,30.159354,0.004505
0.312133,0.026174,29.605671,0.004375
0.279518,-0.091408,30.179472,0.004436
0.207831,-0.025432,30.162627,0.004393
0.368434,-0.173503,30.063618,0.004667
0.251374,0.162222,30.134024,0.004529
0.330903,-0.051562,29.934518,0.004458
0.245084,-0.066018,30.132103,0.004394
0.280445,-0.166932,29.514803,0.004421
0.304521,0.028120,30.136356,0.004440
0.245270,-0.112550,29.829231,0.004387
0.300617,0.042017,29.955749,0.004414
0.268798,0.168270,30.385846,0.004581
0.318941,0.075956,30.039739,0.004477
0.329651,-0.013418,29.940318,0.004451
0.483289,0.150461,29.902516,0.005177
0.322397,0.024747,29.660510,0.004402
0.338758,0.087427,29.903008,0.004507
0.329421,-0.243430,30.317731,0.004730
0.291262,0.144455,29.694709,0.004460
0.349132,-0.083787,29.829993,0.004500
0.290054,-0.086945,29.958531,0.004412
0.303699,0.113818,30.290783,0.004523
0.344801,0.213262,29.815858,0.004679
0.263571,-0.146445,29.962160,0.004449
0.317808,0.076763,29.860290,0.004449
0.378162,0.025842,29.807479,0.004569
0.278023,-0.143526,29.805506,0.004431
0.259312,0.113652,30.415716,0.004500
0.255269,-0.110361,29.938533,0.004402
0.302550,-0.060902,29.994996,0.004419
0.297627,0.006359,29.760614,0.004370
0.216633,-0.044700,29.603702,0.004314
0.322608,0.075790,29.701568,0.004435
0.418355,-0.165865,29.716325,0.004781
0.245453,-0.069190,29.567379,0.004316
0.361906,-0.118691,30.162490,0.004607
0.340687,0.022288,30.007343,0.004491
0.256587,-0.234387,30.019558,0.004612
0.282056,0.038987,30.348718,0.004445
0.290226,-0.094112,29.824498,0.004398
0.222187,0.066659,29.926093,0.004382
0.282580,-0.054563,30.056237,0.004401
0.339745,0.060039,29.640315,0.004452
0.292567,-0.218368,29.926904,0.004577
0.221548,-0.070499,30.453652,0.004445
0.218208,-0.062532,30.173754,0.004402
0.304141,-0.146819,29.904667,0.004477
0.345776,-0.055320,30.077647,0.004515
0.307566,-0.197580,29.482400,0.004490
0.347198,0.103364,30.019217,0.004558
0.303061,-0.095764,29.975896,0.004437
0.345911,0.009300,30.246597,0.004535
0.323218,0.065494,29.828182,0.004447
0.362478,0.116797,29.742025,0.004571
0.251031,-0.021118,29.568648,0.004302
0.229925,0.242178,29.834578,0.004674
0.274894,0.105848,29.792222,0.004411
0.292553,-0.026794,29.816876,0.004371
0.242965,-0.128374,29.893290,0.004413
0.289073,-0.083534,29.663346,0.004366
0.387163,-0.298910,30.357128,0.004992
0.289983,-0.096677,30.331505,0.004472
0.378990,-0.087399,30.032245,0.004618
0.309423,-0.073920,30.171144,0.004461
0.309818,0.064549,29.872569,0.004429
0.292486,-0.042095,30.168968,0.004424
0.357229,-0.067272,30.092618,0.004552
0.208604,-0.141890,30.251848,0.004499
0.248498,0.045636,29.527832,0.004310
